Date,Day_1 Ticker Percent Change,Day_1 Ticker Volume,Day_-1 Ticker Percent Change,Day_-1 Ticker Volume,Day_2 Ticker Percent Change,Day_2 Ticker Volume,Day_-2 Ticker Percent Change,Day_-2 Ticker Volume,Day_3 Ticker Percent Change,Day_3 Ticker Volume,Day_-3 Ticker Percent Change,Day_-3 Ticker Volume,Day_4 Ticker Percent Change,Day_4 Ticker Volume,Day_-4 Ticker Percent Change,Day_-4 Ticker Volume,Day_5 Ticker Percent Change,Day_5 Ticker Volume,Day_-5 Ticker Percent Change,Day_-5 Ticker Volume,Day_6 Ticker Percent Change,Day_6 Ticker Volume,Day_-6 Ticker Percent Change,Day_-6 Ticker Volume
2022-02-02,-10.27,611900.0,2.91,624900.0,-2.82,354200.0,0.92,243600.0,-0.5,282900.0,3.43,190000.0,1.29,208400.0,-0.49,156300.0,0.39,220300.0,-1.12,166100.0,-0.21,287100.0,-3.64,177700.0
2022-04-18,21.96,1652200.0,2.58,290400.0,0.9,563400.0,2.21,107300.0,-5.17,632500.0,-1.02,138700.0,-0.84,364000.0,-0.34,164500.0,0.99,178300.0,-0.25,262700.0,-3.58,245600.0,0.14,180400.0
2022-05-03,31.21,2574500.0,0.71,324100.0,-6.49,855800.0,-2.05,246000.0,-3.45,755200.0,3.22,206200.0,-3.98,460500.0,0.95,229400.0,3.88,412100.0,-3.58,245600.0,-3.39,350100.0,0.99,178300.0
2022-07-20,13.3,2105900.0,2.96,326700.0,-1.76,621700.0,0.81,373200.0,3.47,443900.0,2.7,378900.0,-1.49,405000.0,-0.12,257100.0,-0.62,417300.0,1.03,221000.0,3.41,380100.0,0.79,251600.0
2022-10-19,10.34,1791300.0,-1.35,344800.0,5.2,993500.0,3.89,352100.0,-2.36,516700.0,-2.05,371100.0,6.4,650600.0,5.21,567800.0,-2.07,400600.0,-5.96,443800.0,1.78,535800.0,-0.91,359600.0
2022-11-01,12.5,3850800.0,1.27,647500.0,-1.41,1173300.0,2.84,489000.0,-3.85,1196200.0,1.78,535800.0,0.68,621500.0,-2.07,400600.0,1.5,740000.0,6.4,650600.0,-2.32,595200.0,-2.36,516700.0
2022-12-14,-10.51,1660800.0,0.95,839800.0,0.19,1327900.0,6.12,725300.0,-3.02,1134300.0,-1.86,662400.0,6.41,3338500.0,-0.57,1030800.0,0.67,8430900.0,-0.21,667400.0,-2.23,1299100.0,3.56,991700.0
2023-01-18,-10.16,4910300.0,5.27,1169700.0,1.58,1399000.0,0.16,667900.0,2.46,1182200.0,6.4,1080300.0,6.1,1275900.0,-3.52,2121400.0,-1.2,1044600.0,-7.55,4158300.0,-1.35,719900.0,0.45,2621600.0
2023-01-31,10.24,3203300.0,-2.92,1148300.0,2.68,1518000.0,-2.58,905000.0,3.0,1401000.0,-1.35,719900.0,-1.34,877600.0,-1.2,1044600.0,-1.48,876300.0,6.1,1275900.0,3.95,1758000.0,2.46,1182200.0
2023-05-02,28.27,8162800.0,-0.3,1584500.0,1.83,2122800.0,6.95,1503700.0,0.61,2362800.0,3.89,1000600.0,-0.44,1487700.0,1.73,1504300.0,-3.21,1463600.0,-5.39,2171100.0,1.53,1021100.0,-8.13,4235100.0
2023-05-24,23.41,7137200.0,-1.76,1437500.0,5.96,4989200.0,0.38,1753700.0,6.81,4830000.0,-0.22,2775700.0,-4.34,4416300.0,6.64,3278700.0,3.16,2968900.0,5.81,2751300.0,-3.93,2728500.0,5.8,2289100.0
2023-08-08,-23.39,11456700.0,4.5,3319200.0,4.13,5663000.0,5.26,3468700.0,-8.19,5806000.0,0.5,1490700.0,5.91,4995000.0,-5.32,2779700.0,-1.94,2320100.0,2.21,2066700.0,-3.97,2494500.0,-1.26,2354900.0
2023-11-13,14.88,6250400.0,0.43,2530300.0,-2.07,3605500.0,1.77,4015600.0,-1.43,1833400.0,2.32,2128700.0,1.73,2331800.0,0.71,1930500.0,5.55,2906300.0,-0.95,2523200.0,-4.84,2886100.0,3.7,4997000.0
2024-01-18,35.94,23049300.0,-2.48,3585800.0,3.04,18823300.0,-3.9,4732900.0,4.85,9677200.0,-1.09,2286900.0,2.8,12117000.0,0.27,4172900.0,1.15,6717300.0,-0.39,5345400.0,-0.3,5035600.0,7.32,6703300.0
2024-01-31,10.18,13609600.0,3.49,17956400.0,-0.66,12179100.0,4.54,11525100.0,14.44,17596400.0,-0.3,5035600.0,2.75,18489000.0,1.15,6717300.0,0.29,12333000.0,2.8,12117000.0,2.11,9413700.0,4.85,9677200.0
2024-02-02,14.44,17596400.0,10.18,13609600.0,2.75,18489000.0,3.24,11997300.0,0.29,12333000.0,3.49,17956400.0,2.11,9413700.0,4.54,11525100.0,6.06,10834800.0,-0.3,5035600.0,4.42,16872300.0,1.15,6717300.0
2024-02-13,11.25,20128600.0,4.42,16872300.0,14.02,25240600.0,6.06,10834800.0,-19.99,33802400.0,2.11,9413700.0,-1.96,25412600.0,0.29,12333000.0,-6.78,14962900.0,2.75,18489000.0,32.87,25372700.0,14.44,17596400.0
2024-02-14,14.02,25240600.0,2.39,14480500.0,-19.99,33802400.0,4.42,16872300.0,-1.96,25412600.0,6.06,10834800.0,-6.78,14962900.0,2.11,9413700.0,32.87,25372700.0,0.29,12333000.0,-11.84,19384400.0,2.75,18489000.0
2024-02-15,-19.99,33802400.0,11.25,20128600.0,-1.96,25412600.0,2.39,14480500.0,-6.78,14962900.0,4.42,16872300.0,32.87,25372700.0,6.06,10834800.0,-11.84,19384400.0,2.11,9413700.0,1.9,9607800.0,0.29,12333000.0
2024-02-21,32.87,25372700.0,-1.96,25412600.0,-11.84,19384400.0,-19.99,33802400.0,1.9,9607800.0,14.02,25240600.0,-2.88,6910400.0,11.25,20128600.0,-4.06,6032500.0,2.39,14480500.0,6.07,8842900.0,4.42,16872300.0
2024-02-22,-11.84,19384400.0,-6.78,14962900.0,1.9,9607800.0,-1.96,25412600.0,-2.88,6910400.0,-19.99,33802400.0,-4.06,6032500.0,14.02,25240600.0,6.07,8842900.0,11.25,20128600.0,4.54,9887600.0,2.39,14480500.0
2024-03-01,18.65,20162100.0,6.07,8842900.0,1.53,13304400.0,-4.06,6032500.0,3.1,11893300.0,-2.88,6910400.0,3.12,8824300.0,1.9,9607800.0,-1.7,11672100.0,-11.84,19384400.0,-5.24,7115500.0,32.87,25372700.0
2024-04-15,10.6,7121400.0,-4.14,3301400.0,-1.66,7167500.0,3.16,3677000.0,-3.29,4300700.0,0.48,4137300.0,-23.14,17107500.0,-2.62,4032200.0,0.47,9303500.0,-2.06,4316700.0,6.25,8342600.0,-1.04,5336200.0
2024-04-18,-23.14,17107500.0,-1.66,7167500.0,0.47,9303500.0,10.6,7121400.0,6.25,8342600.0,-1.75,4201100.0,-0.94,6740400.0,-4.14,3301400.0,4.33,5081700.0,3.16,3677000.0,8.9,7068000.0,0.48,4137300.0
2024-04-30,-14.03,13536300.0,3.84,5866300.0,3.28,6496200.0,8.9,7068000.0,2.65,5232900.0,4.33,5081700.0,6.09,5342800.0,-0.94,6740400.0,-1.33,4079300.0,6.25,8342600.0,0.41,3719600.0,0.47,9303500.0
2024-05-14,15.81,9752900.0,-1.97,2814700.0,-5.04,7009800.0,-0.15,3791300.0,-1.83,5192400.0,-2.79,3882100.0,1.81,5363100.0,0.41,3719600.0,-0.55,5918800.0,-1.33,4079300.0,-2.86,5632200.0,6.09,5342800.0
2024-06-12,12.44,11613700.0,-2.45,3038700.0,-3.05,6598800.0,2.31,4879000.0,5.08,8911800.0,-1.13,3444900.0,3.67,8762100.0,-3.07,5033900.0,-0.26,13432900.0,4.01,6307500.0,-1.35,7465600.0,0.13,4078300.0
2024-08-06,-20.14,18120500.0,-2.53,7079100.0,3.5,11823800.0,-7.08,7714700.0,-0.23,5919000.0,-4.19,5431700.0,6.33,9175200.0,5.3,4968000.0,4.89,8116000.0,-4.5,4896300.0,1.7,7001200.0,-2.03,3919600.0
2024-08-27,-19.02,36973500.0,-8.27,9038600.0,1.2,13053300.0,1.39,5337400.0,-2.48,10933200.0,-3.04,6115300.0,0.93,9722400.0,2.11,5737500.0,-4.14,7163400.0,-2.04,6060400.0,-2.09,6198700.0,-0.82,6880200.0
